Time,Ixx,Iyy,Roll_Rate,Speed,Mach,Alt,Dyn_Pres,AoA_Rate,Sideslip_Rate,AoA,Sideslip
9.151925,3.2834150633,997.2892310607,631.8694594929,0.4505907233,1.3551652011,2.0084060285,102094.983470447,-0.008953982,-0.0488917028,-0.0026928548,0.0026276116
9.1661875,3.2819423843,996.8186055825,632.8432530477,0.4512824178,1.3573463821,2.0147013643,102343.900587608,0.0391114316,-0.0687139478,-0.0024816895,0.0017587468
9.18045,3.2804697053,996.3479801043,633.8213831999,0.4519741864,1.3595282717,2.021006275,102592.867952191,0.082581828,-0.0628318837,-0.0015992178,0.0007911918
9.1947125,3.2789970263,995.8773546261,634.8059388297,0.4526660301,1.3617108734,2.0273207612,102841.884668393,0.1073319502,-0.0361310034,-0.0002159869,6.65699014556919E-005
9.208975,3.2775243473,995.4067291479,635.7978340416,0.4533579498,1.3638941909,2.0336448229,103090.949841967,0.104959376,-0.0003218173,0.0013320761,-0.0001957049
9.2232375,3.2760516684,994.9361036697,636.7966543475,0.4540499464,1.366078228,2.0399784604,103340.062580991,0.0755683571,0.0302269564,0.0026481316,3.19934032291309E-005
9.2375,3.2745789894,994.4654781915,637.8007451515,0.4547420208,1.3682629885,2.0463216741,103589.221996859,0.0277311357,0.0434853965,0.0033990379,0.0005832471
9.2517625,3.2731063104,993.9948527134,638.8075229195,0.4554341739,1.3704484761,2.0526744646,103838.427203459,-0.0243468747,0.0338979734,0.0034188428,0.0011624196
9.266025,3.2716336314,993.5242272352,639.8139506376,0.4561264068,1.3726346946,2.0590368326,104087.677314074,-0.0654962155,0.0042670696,0.0027571565,0.0014536791
9.2802875,3.2701609524,993.053601757,640.8170916395,0.4568187202,1.3748216478,2.0654087793,104336.97143803,-0.0845155949,-0.0352381085,0.0016570144,0.0012365568
9.29455,3.2686882734,992.5829762788,641.8146430538,0.4575111152,1.3770093396,2.0717903062,104586.308678679,-0.0777172555,-0.0705943501,0.0004704948,0.0004683979
9.3088125,3.2672155944,992.1123508006,642.8053533967,0.4582035927,1.3791977736,2.0781814148,104835.688135076,-0.0499130326,-0.0887533717,-0.0004589113,-0.0006944843
